Tabla 1
Año;Nota(2);Ingreso medio mensual Total ($);Nota;Ingreso medio mensual Hombres ($);Nota;Ingreso medio mensual Mujeres ($);"Brecha de género(3)
 (%)";;
2010;;380.808;;438.074;;294.178;-32,8;;
2011;;413.192;;481.342;;313.088;-35,0;;
2012;;465.903;;538.681;;359.201;-33,3;;
2013;;488.394;;568.050;;375.161;-34,0;;
2014;;498.781;;568.767;;399.908;-29,7;;
2015;;535.311;;615.366;;423.715;-31,1;;
2016;;546.209;;627.822;;433.415;-31,0;;
2017;;581.086;;664.364;;467.060;-29,7;;
2018;;606.399;;685.008;;499.376;-27,1;;
2019;;620.528;;704.274;;506.651;-28,1;;
2020;;635.134;;692.289;;551.327;-20,4;;
